type,time
c,22.98359221
b,0.385023182
a,12.37673444
b,8.380040154
c,84.02981186
c,8.31616905
a,8.761699946
a,1.255167078
b,30.9325484
b,3.681917395
a,5.391576965
a,7.665250808
c,0.556875472
a,11.32207811
b,5.542125564
c,4.326598046
a,6.473913938
a,3.870768589
b,12.98413536
b,10.38445368
b,2.325254146
c,1.611958607
a,3.235152171
b,1.990652593
b,10.55838588
a,6.514202049
c,3.496223756
c,9.362246313
b,2.015239622
a,4.786956981
a,1.42970806
a,1.967381742
a,0.39242235
b,10.45362748
b,14.49840841
a,7.549865432
b,5.949215175
c,13.07141538
a,1.340969289
c,7.461722483
a,1.830411796
a,4.359646761
a,35.11800556
c,15.17613088
b,8.309975609
a,4.416967647
a,7.658270579
b,1.989991471
b,27.44915235
a,0.418083731
b,11.92722383
b,7.041559488
c,9.537834413
b,3.147710927
b,4.690971065
a,6.830297508
c,0.084522623
a,11.94826365
c,22.91380798
a,3.229819357
b,9.722204059
c,3.11916091
a,3.01135418
b,5.736669245
a,5.161410342
b,6.001505618
b,2.933753826
a,3.812769868
a,0.096329704
b,2.811411977
a,8.298258399
b,10.24867553
a,6.77149584
c,2.556450041
a,1.123992468
b,8.230564594
a,2.896276896
a,15.65685079
a,1.487800272
b,0.227314644
a,3.164838364
a,11.04658481
a,26.06788331
b,0.514593065
a,5.608210554
a,3.291415176
b,14.01980829
b,9.487771883
a,11.6427358
a,1.866998717
b,0.641161863
c,6.426942833
a,2.339459744
a,5.899187261
b,9.888234358
b,17.86041357
c,3.637572337
a,2.142385128
b,15.74850628
a,21.18199518
a,1.482602821
a,4.314201749
b,0.255915155
a,2.782181075
a,5.276682761
c,1.008970249
a,1.469941996
a,2.617030535
b,6.129405711
b,2.000648186
a,3.986910484
c,7.684554448
a,7.096782207
a,10.60074934
b,2.326522112
c,27.22116375
a,8.009305652
b,8.444756955
a,0.552706832
a,1.857906075
a,2.702750403
c,31.89063847
c,20.4636829
b,0.182456649
a,0.476299558
a,4.129699017
a,27.17351311
c,6.415275894
a,1.229197721
c,5.992803434
b,1.446619663
c,2.821855485
a,0.550339353
a,4.730614763
c,20.74646547
a,10.4182304
a,0.315098076
a,0.53635322
c,9.760566905
a,1.576069903
b,1.366443282
a,6.536245993
a,1.78529999
a,0.670354176
a,3.798874421
a,2.063133817
b,5.512552172
b,20.76535402
b,2.542372502
a,5.656378866
b,1.435933919
a,10.11274924
a,4.292974421
a,10.23332734
a,0.531604972
a,29.6237003
b,4.013735221
b,31.39467732
c,0.262985128
b,0.766482156
c,3.52604374
a,0.787178923
a,10.62768453
a,4.472205257
b,12.47543979
b,41.68697442
a,5.0895784
a,1.239378899
a,1.903906818
b,1.084581614
b,2.723474029
a,3.678160487
c,10.65763456
c,4.928029343
b,1.408557793
a,9.298559632
b,6.94879578
a,6.903383597
b,1.113544527
a,1.725824734
c,39.99138554
a,4.706697767
a,0.196544286
b,1.354320027
a,0.563528582
a,0.176180783
a,3.218202614
b,4.980040333
c,10.17624607
a,4.527454548
a,0.278400443
b,16.99571216
a,3.147784648
b,20.91594304
b,2.8303691
b,5.544957094
a,14.56505943
c,16.69997355
a,1.044361216
a,7.661858336
a,0.151206051
b,3.470702257
a,2.895693788
b,6.515363164
a,1.169932477
c,11.02075468
b,0.450326037
a,2.862079919
a,0.359608975
a,6.57045423
c,8.961428515
c,1.441431903
a,6.858274601
b,16.38522141
b,4.04253744
b,6.809277102
a,2.736158874
c,2.285486914
a,4.350582403
a,5.279333512
a,1.599673468
a,1.71974021
a,1.594868366
a,5.309460624
c,7.84076632
b,1.012356848
b,4.371799726
b,2.594833958
b,2.166806977
b,9.633531741
b,1.145238038
a,7.312825108
b,0.998129469
b,2.696731944
a,2.204190732
c,14.546619
b,8.678485669
a,5.600898899
a,1.673500036
b,0.985577606
b,9.43479184
a,8.147761354
b,6.307388503
a,7.007129378
a,9.376871299
a,1.681123015
b,1.42781201
c,7.568090806
a,6.300229132
a,0.881908389
a,2.717292763
b,5.30376168
a,7.687412938
b,4.10734475
b,2.551946014
b,1.793490704
c,25.33464154
a,2.265299111
b,6.773330636
a,2.813028644
c,7.033763555
c,14.92798809
b,3.192810854
a,1.144051787
b,4.763597924
b,4.222647429
a,9.096341533
a,16.20878532
a,1.720790013
b,13.22825705
b,1.954917423
a,3.650378138
a,0.846633306
b,1.460596681
a,3.057906558
a,1.025416643
a,3.520411481
b,3.104780033
a,3.980374566
b,0.868111178
a,3.100801494
a,4.999681255
c,10.99079523
a,0.093127107
a,17.36543502
b,10.79206055
a,1.097538349
c,0.582887633
a,8.664863063
a,1.959776462
a,6.162317181
b,1.002148278
a,7.349227089
b,35.79127269
a,4.784649001
a,3.476750394
b,2.599067255
b,11.60964685
b,4.414173342
c,9.92486082
b,3.7769036
a,0.333673349
a,4.235859271
b,37.23812809
a,0.730426321
a,2.365957792
a,7.288933576
c,1.958875015
a,3.387394112
b,5.134591252
a,3.190768238
b,7.020943716
b,6.189394228
a,1.334574283
b,14.24544896
b,0.311649475
a,2.448247094
c,2.465026516
a,6.287873462
b,1.030112968
a,9.234056649
a,7.166418446
a,10.1522376
a,0.451456408
b,18.09951009
b,15.66928156
c,5.653501949
c,4.317220822
b,13.71083076
c,16.55812617
a,2.37088948
b,21.9793633
a,0.499368976
b,9.950978689
a,0.997436412
c,4.162941584
a,3.060038681
a,10.98269418
a,3.383908309
a,5.720356302
a,2.298735927
a,2.128925058
b,7.133077822
c,8.09678461
a,1.032362287
a,2.416538437
b,9.410172619
a,1.622325236
a,11.3977092
a,0.950714577
b,2.431216068
a,1.383433565
c,1.323111146
a,0.080574599
b,13.90957236
b,4.18990816
c,1.878874628
c,7.637677937
a,8.770324308
b,1.034834215
a,0.739694294
a,6.071575978
b,6.721304886
a,0.74651581
a,7.978356943
b,0.475492347
a,20.48419225
b,10.48049334
c,2.462297502
b,3.774184652
b,1.876113048
b,11.53076237
a,4.534686063
a,2.039045524
b,5.726074166
c,12.22983594
a,1.214267327
a,14.26048227
b,0.542592373
a,15.0999704
a,8.448875863
b,3.712635348
c,4.207795928
c,17.75051388
b,2.282996003
b,3.146967426
a,13.65247778
b,2.02828461
a,4.45982282
b,4.732191652
a,5.298890364
b,11.42375106
c,6.142628898
a,5.760218305
a,3.265919567
b,5.729342304
c,14.39768566
b,17.46556084
a,1.670839155
a,0.795225676
c,2.161891949
a,2.158630502
a,1.865200798
c,2.49147995
c,8.825860504
c,21.98182358
a,6.574324295
b,9.669613883
a,2.169334195
b,0.277344443
a,3.659098055
a,0.032945877
b,4.21448442
a,6.117696995
b,13.1820052
b,6.894251644
b,7.812141381
a,0.186880432
b,1.581685796
b,0.485929717
a,1.057307866
c,14.95547799
c,2.970089931
a,2.648098436
a,8.362006014
a,3.620590064
b,20.83931721
a,4.795638004
a,6.83317787
c,13.14107775
b,5.561485581
b,3.746535081
a,0.252233269
a,12.98792665
b,46.48417556
a,9.410499679
a,2.240531291
b,11.90795417
a,3.222775774
a,3.953960249
c,4.645095794
a,13.49366744
b,1.603844732
a,2.272883763
b,29.29136316
a,5.607621679
a,15.48925817
a,3.040118471
b,1.057091623
c,11.23779899
a,3.380637639
b,11.49408349
a,0.037109995
a,0.906759102
c,0.945254983
a,3.313590407
b,0.660531723
b,4.112961054
a,1.865219315
a,0.69944615
a,14.68363377
a,1.891100009
b,1.847750735
c,0.012268834
a,1.839534803
b,7.657126262
b,3.672829702
a,9.081385918
c,5.827811449
a,7.475047838
a,7.518331354
a,28.08780455
a,2.735644039
a,1.456554949
b,3.993251584
c,22.66513025
c,23.68069233
b,8.013520404
a,10.85230363
b,11.4797103
a,3.045087501
b,22.08528556
b,2.046691105
b,22.87670201
a,0.679214634
a,5.263679912
a,4.202294792
a,4.715006551
a,10.26982862
a,5.612100209
b,20.62429504
a,6.677552908
a,4.053308074
b,21.46229003
b,7.300397515
a,6.767238322
b,1.051895134
a,9.955898895
a,5.187954963
a,1.878896945
b,18.39947984
a,2.445769867
a,1.862451816
a,1.570105597
a,4.25313665
b,10.35717061
a,1.753909655
a,0.364657327
b,5.968541487
a,2.097738073
b,13.19677899
c,5.66410318
c,34.13207754
a,4.199249535
c,22.52085344
a,0.713353788
a,6.077748099
b,0.839678243
b,4.871713132
a,0.214764311
a,5.204277318
c,6.73636232
c,11.15289831
a,2.669494438
c,27.62951428
a,2.096345671
b,4.162039008
a,0.97170148
a,6.302514663
c,4.889939115
a,7.931952394
a,1.97321651
c,8.279213681
a,1.673457632
b,21.64222209
b,0.997241788
b,0.567889743
c,3.373011241
a,1.227990509
b,12.12768285
c,9.916272756
a,4.11292633
a,1.737320456
a,12.33550292
a,14.12514149
a,2.428930132
c,0.136486741
b,1.013122115
b,3.228824805
c,6.70227651
a,8.580577904
c,4.452146948
a,0.497234444
b,19.31763275
a,3.494564704
c,16.40869193
a,2.933007839
c,9.70759009
a,0.231808376
a,4.295484162
a,6.036835359
b,4.98408474
a,2.354812177
c,0.709803498
a,2.010459411
a,0.018246809
b,3.443435557
b,10.00095163
c,5.554138385
c,2.181848981
a,0.43285551
b,1.028741382
c,1.849509838
a,9.547494761
c,20.68724647
a,10.92516445
a,16.70737117
a,3.821284752
a,7.142223846
b,14.04015347
c,38.41665165
b,7.491898546
c,0.139765707
a,8.67753528
a,3.516591615
a,0.36793537
b,0.756868482
c,20.63739117
b,0.662653673
a,12.14791338
b,19.13635741
a,3.923261375
a,1.348763306
a,4.254343061
a,0.922115331
a,2.318653294
a,2.409099776
a,6.260826881
a,1.339179541
b,2.734684657
b,6.148177705
a,16.42519572
a,11.70088169
b,4.09012787
b,7.348343417
a,15.35738882
b,0.700997092
a,1.824545253
b,4.199702393
b,10.00999672
b,3.763226211
c,35.95966771
c,20.56144662
c,2.193977591
c,47.79891807
a,2.873594908
a,36.74610576
b,4.872827057
a,7.037388448
a,9.188282582
b,3.511968318
b,6.347205571
b,5.047226951
b,17.68817992
a,9.707572273
b,6.079227194
c,0.618806837
c,10.56341459
b,0.63046249
b,17.95866706
a,2.310390957
b,8.297957681
a,15.31157475
a,3.311902082
c,5.233312319
a,4.150880812
b,14.6603996
a,2.417092742
a,1.721311086
a,3.478903902
a,8.109408384
c,3.827758268
b,8.645406681
c,14.38737369
b,0.680018987
a,19.32589653
b,1.030303191
a,18.47182699
a,1.930783929
a,3.029164206
a,9.393681439
b,18.02283548
a,6.470099571
a,1.034775151
a,4.357183752
c,28.58018704
b,0.731710222
b,5.386623442
c,1.357799233
a,1.214700304
a,0.241766102
b,2.950699697
c,6.923679067
b,20.24383773
a,1.68756565
c,3.594623962
b,8.750040367
c,4.223277983
a,1.350766313
a,2.345473547
b,6.361922808
b,9.279810592
a,1.865182826
a,23.66618002
b,1.132983975
a,0.004255692
a,0.726186024
b,5.567117734
a,2.703368703
a,5.579076414
a,10.07721296
a,1.75607475
b,16.19681168
a,3.356751583
a,10.45840901
a,2.202997813
a,18.01476923
a,0.307352747
b,11.46452167
b,21.70313378
b,3.830274537
c,0.327680567
c,4.470658405
b,12.55407991
a,12.82596019
a,11.48778125
a,8.441697508
a,15.64926661
a,0.627607135
a,8.107376489
a,13.02053519
c,0.49777362
c,2.697609817
a,5.740934592
c,5.008034767
a,13.37749417
a,3.820257103
a,0.564961657
c,10.45950201
a,0.85953509
b,4.060221836
a,1.232627953
b,5.418870118
a,5.51786012
b,5.425357632
a,11.50037928
a,8.347838865
a,1.615350122
b,3.807809711
b,2.267802719
c,11.84490237
b,5.960189268
b,3.429092322
a,0.009659907
c,4.430139959
a,3.396845264
a,31.83172992
a,0.409431604
a,0.150258383
b,5.042610213
b,0.241322506
b,6.564741231
b,4.326874286
a,2.533098352
b,12.52830884
a,2.433945131
b,4.440199518
a,4.234576956
a,8.531347513
b,3.463673435
c,1.859684829
c,4.372715084
a,12.19389881
a,6.760722562
b,7.711822427
b,4.071788087
b,2.22849958
c,24.68026111
b,3.838247295
b,3.560647257
a,2.125882711
b,0.167267691
a,18.46968318
b,21.57706876
b,1.937114995
c,3.990174006
a,1.355778093
b,6.260446958
a,9.259773893
b,18.27278127
a,1.67106955
a,4.070296683
c,28.91977683
b,6.246816633
c,7.52569559
b,7.179001458
b,3.349620905
b,7.458142228
b,6.800648793
b,18.43259047
c,26.98999183
a,0.167725476
a,1.899438297
c,34.77217132
a,2.461260066
a,12.43044578
a,0.271108039
a,15.43904401
a,0.616678281
a,2.302320567
a,9.311073366
a,2.482737219
c,1.854160368
b,3.643347517
a,7.919690829
a,1.974756444
b,42.18075408
a,1.140154407
b,10.25298763
a,3.501259121
a,0.138652316
b,2.157798313
b,1.508208029
b,13.23293039
a,5.876830285
a,0.233579762
a,6.325362776
a,7.873334293
a,7.688215896
a,12.72963979
a,0.764320693
a,10.01937835
a,1.633508092
a,2.167940691
b,1.593175229
a,2.702273611
a,2.728422703
a,5.882693031
a,2.702579326
a,24.28148341
b,0.865871102
a,2.059310526
b,8.149177815
a,0.100132346
c,3.563103955
b,29.86368601
b,3.318938951
c,39.95501047
b,4.71450866
c,11.63915752
a,3.710954208
a,4.096618257
b,2.348215681
a,3.025802819
a,7.968379687
c,6.502928892
b,6.847813263
b,0.492413167
a,4.813698064
c,15.36504252
b,5.569703484
b,3.512450732
a,2.944157165
a,6.452596215
a,6.334109866
b,0.215487662
a,3.201219775
b,5.950281448
c,7.124652511
c,6.781357476
b,0.840640028
a,0.251930545
a,1.594978438
a,7.557158246
b,0.143551662
a,1.360865752
b,3.292512141
a,0.510054741
a,1.053150504
b,10.54349671
a,13.82182843
a,0.854346133
a,16.43995508
c,12.89407583
b,1.000364859
a,0.147546628
a,0.418051556
b,7.277073607
a,10.12237617
a,9.947138195
a,5.901561691
b,0.579958864
a,14.51865744
a,5.128398454
c,20.09930693
b,3.979448471
b,3.459461719
a,0.565228728
a,23.34690595
a,6.650426453
c,20.13327179
a,4.181693538
a,2.182245261
b,6.930247515
c,2.656200177
a,1.539404918
a,2.826467501
a,8.33490784
b,2.670435775
a,2.215146997
b,5.288402081
b,4.716390233
a,6.378505835
a,2.147225526
a,1.798989479
a,8.515402153
c,2.964364397
b,4.443066251
c,9.137606148
a,8.144963067
a,6.090195519
b,4.870264042
a,1.216042892
a,0.700984476
b,22.45783023
b,8.755275763
a,13.36667639
a,10.95982461
c,2.142901155
b,0.338595734
c,23.08346996
b,3.737035781
a,7.376498666
b,0.080268927
b,4.483658083
a,2.122073063
b,4.755768441
b,0.389792282
c,3.64498726
a,2.192499291
a,11.51303868
a,3.337797907
a,0.203221103
b,4.779062784
c,3.904390639
b,6.524447636
a,12.46060903
b,2.408802808
b,7.569476828
a,1.047475733
b,10.09145215
c,6.985814098
a,1.496828501
b,0.227991819
a,10.2587134
a,4.903578334
a,6.061495412
c,32.78322749
b,5.83847478
b,11.01520343
b,10.97509684
b,4.31829552
c,23.8630909
a,1.860839238
b,17.66337904
c,0.851354952
b,10.84782848
a,4.42711952
b,1.832004475
a,3.035584902
b,10.91213775
a,2.575615726
c,5.397587824
c,0.584157288
b,15.84382556
c,4.886965184
b,7.024872489
b,32.55412154
c,3.197770482
b,23.14058788
b,6.590890363
b,8.531822726
a,7.76975247
b,8.181091107
a,9.222774952
c,7.26921435
a,4.060855796
b,6.909615636
b,35.71964894
b,2.952538561
a,0.449820495
a,2.369833635
a,0.488358329
b,1.583343171
b,3.320634904
a,1.831568428
b,0.006479412
a,6.395702776
a,13.45751329
a,3.824750106
a,10.51972314
a,8.10177793
c,2.420005999
c,2.180543342
a,5.46053281
c,3.199401938
b,5.613885487
a,3.579299627
a,0.323183131
b,5.434785608
a,3.414474225
a,6.424790635
c,15.50612327
a,1.264872566
c,3.563117287
c,4.995854073
c,0.730704218
a,10.78971111
a,2.978456968
a,3.283971183
b,6.414554002
c,14.81830818
b,1.670579493
a,0.43843305
b,19.68538864
c,1.608561673
b,8.215871952
c,0.090311761
a,0.880028338
a,2.196987721
b,44.48055934
b,25.037274
a,0.592532861
b,3.209704246
b,12.50932693
b,12.01188135
b,2.695442338
a,7.356467852
a,3.334682339
c,17.74568807
a,2.345655572
a,12.44903204
a,1.270257483
b,6.424095258
b,0.860393565
a,3.595991188
a,2.59808097
c,0.763038276
a,3.422595877
a,11.30006018
b,1.356009107
a,2.943187237
b,5.23991916
a,3.68981102
b,10.23750477
b,8.177312873
a,7.351736957
c,0.144750602
b,7.633313588
b,0.921389299
b,1.636204913
c,2.037855592
a,3.779362747
a,1.561780875
a,9.948720932
a,3.058418701
a,0.337937062
a,23.95472744
a,0.577910217
a,0.740379118
b,1.361394297
a,7.139956793
a,1.301062517
b,4.702919502
a,7.241803314
a,19.1913953
c,3.908206201
a,10.01977298
a,6.299972017
a,19.67074211
b,5.020446945
b,14.35158439
b,14.82735988
a,2.860534668
a,3.166728704
c,18.66351517
c,1.235043891
b,10.46067166
a,4.666697294
b,2.246562733
a,1.279921259
a,7.298380155
c,2.685442003
b,7.472593613
c,0.199713572
a,2.399844804
a,0.695718599
a,10.56155701
a,6.895142887
c,26.47387562
b,4.078334995
a,6.460772189
a,2.206964914
b,15.58576468
a,4.190990917
b,20.52650274
a,5.470345225
b,8.953976514
a,0.596533776
a,5.869664387
a,1.218015753
b,2.002852153
c,19.94558224
b,8.69026336
b,7.125344803
a,3.510740091
a,2.816905186
a,1.622708123
b,4.462211594
a,0.768577815
a,4.030344582
a,10.05243244
b,7.840459055
a,6.818221755
b,2.999003381
b,5.902298391
c,11.92859304
a,3.335641397
b,2.548948623
b,14.23692672
a,12.3957291
b,1.300690245
a,2.375382013
c,10.37153742
c,2.463993358
a,15.75535044
b,1.261944501
b,5.364548016
b,16.15493193
c,15.23190306
c,6.676211618
b,2.734159589
c,30.40650935
a,1.34275097
a,0.201827739
c,7.517887605
a,1.183818174
a,1.178113404
b,1.395879317
a,14.39827953
a,2.464156426
b,4.148850526
c,16.07223714
b,3.079555513
a,2.26324661
a,5.562146413
b,14.5923917
b,5.035355926
a,5.864305598
a,6.497120373
a,5.903131226
b,1.588900357
a,0.987126809
a,2.748115326
b,5.441568758
b,4.466814954
b,27.43958765
c,5.279717119
b,6.787976553
a,10.24015549
a,7.330296253
a,1.149940777
a,0.197524995
a,0.749515353
b,0.719170717
a,7.775356826
c,3.052667603
b,2.194321483
b,3.755051445
a,4.052531531
c,25.37466565
a,2.567313144
a,5.082771904
a,0.820994523
a,3.975836346
b,0.520794336
a,2.060726087
a,13.95230494
a,0.705807158
b,7.189194582
a,5.914222076
b,4.092088278
a,1.193951366
b,17.98332851
a,2.993487394
b,0.425949968
a,2.201563455
c,15.80809228
b,0.934247714
b,2.171397366
a,4.718883959
a,4.935127501
a,3.247398769
b,10.28221266
b,5.60349925
a,2.737819105
a,2.203434377
a,0.362528933
a,3.585987189
b,8.431291533
a,8.847907409
a,10.91519345
b,4.637292251
b,2.624337684
b,0.424418669
a,5.321364365
a,0.250221667
a,0.722758949
b,5.153121762
b,1.060227453
a,4.274045359
a,2.936360464
b,0.175794117
c,5.795385372
c,22.99884992
b,17.72062613
b,9.844887517
b,4.852109887
a,5.078806029
b,12.31847328
a,2.887282849
a,1.196488843
b,2.365879044
a,3.907445767
a,1.953375416
a,12.39184488
a,9.802687345
a,10.37961788
c,4.282569028
b,16.97710195
a,6.820858461
a,4.212838308
a,3.486862757
b,11.13314613
a,3.182656288
c,2.454137825
a,7.714502906
a,4.017347518
c,7.123872973
a,4.361805946
b,5.387496322
b,3.167128867
b,2.579058923
a,7.437928409
b,3.862563904
a,5.451783244
a,16.60944123
c,11.81951056
a,0.299504202
a,3.205722128
c,49.70763074
c,3.295150949
a,2.452266528
a,1.738684818
b,5.91262429
b,11.01682677
a,1.639083221
b,10.68683215
a,0.843250235
a,1.477972073
a,8.171796146
a,0.025063133
a,0.825670501
c,4.897724027
c,6.058094515
a,1.030217815
c,8.511516125
c,2.657843173
b,14.58742289
c,6.062773196
a,7.836199188
b,5.60381965
b,2.536324345
b,1.594781261
a,0.884120967
a,1.854113326
b,20.1952626
a,1.190483605
b,6.311300287
c,7.203868376
a,1.956081491
a,7.052425322
b,9.753990218
b,3.123502892
b,12.91922446
b,10.30090245
a,7.087880438
c,6.621039822
c,7.641953468
a,0.788626035
a,1.865820279
b,5.681843951
a,2.564918639
c,0.377413081
b,0.322790977
a,1.876360141
a,2.907312613
a,20.32141234
a,0.493493355
b,0.463760978
b,7.676820151
b,9.939737372
a,7.351346299
a,0.066725577
c,0.057577883
a,1.759401404
a,0.008428794
b,2.07810731
a,8.452131785
b,2.796525527
a,7.144742879
b,5.252797488
a,3.684166558
b,18.55057763
a,3.726354274
b,9.370037271
a,2.349435866
b,3.609541409
a,1.188716317
b,14.06924395
a,2.452624044
a,0.483030572
a,2.65613745
a,1.134256471
c,5.836976101
b,18.47273134
b,9.767580963
b,2.335986443
a,2.878964117
a,1.110682148
c,3.447642475
a,1.625888273
a,8.453115485
b,6.40575549
b,9.488920435
b,6.133168727
a,5.968815796
a,13.19639246
a,6.618078556
a,1.615685334
c,12.25370708
b,2.801669547
a,2.334063251
b,6.149163618
b,5.798089475
b,0.079502869
a,0.584556795
b,16.40963972
a,14.14366281
b,1.268363751
a,7.988710195
b,1.173173012
c,7.184402662
b,4.159120709
a,0.616802683
b,13.17468022
a,4.625075942
b,3.639441188
b,27.99164237
a,0.789740186
b,3.407272313
a,15.68345964
a,1.870081034
a,5.578543353
a,0.489606266
a,1.147150279
b,6.467754395
b,4.422490854
a,1.685144654
a,2.428258996
a,2.665695678
a,3.404231037
c,0.227001206
c,4.775197114
a,0.408909953
a,3.522204431
b,1.169352962
c,3.485927763
a,1.183040805
a,1.465889043
a,3.137046711
b,1.000313714
a,2.550066269
b,5.140302595
a,5.84782877
b,5.403329846
a,5.104470316
a,5.389724985
a,2.981792598
b,10.45334879
a,2.295267649
b,11.87876987
a,17.6884501
a,6.609661258
c,3.712368283
a,0.284450729
a,1.01443287
a,2.748373935
c,9.991921427
c,11.96474928
a,15.72125696
b,2.228919049
b,8.117172482
b,1.08236237
a,2.396123638
a,8.865022948
a,1.130678216
a,9.837081329
b,4.609606598
a,4.564880988
b,5.106508084
a,2.65494257
c,9.685373865
a,1.660774015
a,0.836046562
b,7.89539643
a,1.100354555
a,5.166421709
a,1.155924306
a,4.831789085
b,11.63963632
a,0.851258121
a,1.296222145
a,2.279868549
a,6.400099638
b,5.60751903
b,23.21033734
a,5.488354414
a,9.539774563
a,16.16348382
a,7.429248085
b,9.328949801
b,6.182772826
b,16.29411444
a,1.067673385
a,0.311713361
b,2.855317067
c,4.543364155
a,12.31958984
c,11.3191534
a,3.323259251
a,7.661473843
c,10.41901395
a,3.511473785
a,15.05685194
b,6.650351744
b,3.347070806
c,7.35908659
b,2.203246173
a,4.048151413
a,2.186465184
b,7.694594271
a,0.076880227
a,0.749877974
b,1.808508075
a,9.019928429
a,11.82391546
a,1.180878041
a,0.900238213
b,0.35138293
b,10.14801408
a,0.131854921
a,10.20809418
b,2.350922067
a,2.058337432
b,0.860660966
a,1.205091758
a,0.683963594
c,14.86939251
b,2.664777078
b,22.75929236
b,3.691870813
c,18.09591461
a,1.045485001
b,1.396355699
a,19.15492488
c,6.916485974
c,32.76424125
a,3.955052737
a,2.765343648
b,11.48817596
b,12.30959015
a,20.40470126
a,1.149177437
a,3.240935744
b,4.633230198
c,20.58537044
b,3.36397725
a,1.42327656
b,2.681955047
a,5.543288262
a,1.952772193
b,5.198606815
b,33.18050794
b,7.482588127
b,2.080210184
a,13.3819414
a,0.715813528
c,7.865684991
a,2.811396291
a,6.747016748
b,3.527234931
a,6.36404064
a,13.35965098
c,12.43449623
a,4.955578865
a,7.681693742
a,3.397936567
a,4.105964279
a,0.830765695
a,8.924195049
